id|year|city|otype
1|1924|Chamonix|winter
2|1928|St.Moritz|winter
3|1932|Lake Placid|winter
4|1936|Garmisch Partenkirchen|winter
5|1948|St.Moritz|winter
6|1952|Oslo|winter
7|1956|Cortina d''Ampezzo|winter
8|1960|Squaw Valley|winter
9|1964|Innsbruck|winter
10|1968|Grenoble|winter
11|1972|Sapporo|winter
12|1976|Innsbruck|winter
13|1980|Lake Placid|winter
14|1984|Sarajevo|winter
15|1988|Calgary|winter
16|1992|Albertville|winter
17|1994|Lillehammer|winter
18|1998|Nagano|winter
19|2002|Salt Lake City|winter
20|2006|Turin|winter
21|2010|Vancouver|winter
22|2014|Sochi|winter
23|1896|Athens|summer
24|1900|Paris|summer
25|1904|St Louis|summer
26|1908|London|summer
27|1912|Stockholm|summer
28|1920|Antwerp|summer
29|1924|Paris|summer
30|1928|Amsterdam|summer
31|1932|Los Angeles|summer
32|1936|Berlin|summer
33|1948|London|summer
34|1952|Helsinki|summer
35|1956|Melbourne / Stockholm|summer
36|1960|Rome|summer
37|1964|Tokyo|summer
38|1968|Mexico|summer
39|1972|Munich|summer
40|1976|Montreal|summer
41|1980|Moscow|summer
42|1984|Los Angeles|summer
43|1988|Seoul|summer
44|1992|Barcelona|summer
45|1996|Atlanta|summer
46|2000|Sydney|summer
47|2004|Athens|summer
48|2008|Beijing|summer
49|2012|London|summer
